Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
50,AVAXUSDT,1796.8806152519228,2021-01-27 14:30:00,11.1304,0.0,2021-01-27 16:00:00,11.3866,0.0,460.3608136275434,0.02301804068137717,Long,Closed,50
51,AVAXUSDT,1823.1872960309213,2021-01-28 00:15:00,10.9698,0.0,2021-01-28 02:00:00,11.2034,0.0,425.8965523528241,0.021294827617641204,Long,Closed,51
52,AVAXUSDT,1747.9614399706343,2021-01-29 04:15:00,11.4419,0.0,2021-01-29 05:00:00,12.0053,0.0,984.8014752794552,0.04924007376397276,Long,Closed,52
53,AVAXUSDT,1708.3650092678802,2021-01-29 14:45:00,11.7071,0.0,2021-01-29 15:15:00,11.9303,0.0,381.307070068593,0.019065353503429652,Long,Closed,53
54,AVAXUSDT,1725.6999870572502,2021-01-29 18:00:00,11.5895,0.0,2021-01-29 21:30:00,11.653,0.0,109.58194917813671,0.005479097458906836,Long,Closed,54
55,AVAXUSDT,1745.5053237912375,2021-01-30 02:00:00,11.458,0.0,2021-01-30 04:00:00,11.6875,0.0,400.59347181008707,0.020029673590504355,Long,Closed,55
56,AVAXUSDT,1713.6785824450767,2021-01-30 11:45:00,11.6708,0.0,2021-01-30 14:15:00,11.8011,0.0,223.2923192925955,0.011164615964629775,Long,Closed,56
57,AVAXUSDT,1574.6915572912155,2021-01-31 19:00:00,12.7009,0.0,2021-01-31 23:00:00,13.2823,0.0,915.525671409112,0.0457762835704556,Long,Closed,57
58,AVAXUSDT,1561.6947511439414,2021-02-01 13:45:00,12.8066,0.0,2021-02-01 15:45:00,12.9242,0.0,183.65530273452896,0.009182765136726449,Long,Closed,58
59,AVAXUSDT,1566.0848661388961,2021-02-02 04:00:00,12.7707,0.0,2021-02-02 06:45:00,12.9488,0.0,278.91971465933966,0.013945985732966983,Long,Closed,59
60,AVAXUSDT,680.5684107366473,2021-02-08 23:30:00,29.3872,0.0,2021-02-09 02:15:00,30.0412,0.0,445.0917406217668,0.02225458703108834,Long,Closed,60
61,AVAXUSDT,691.7638594889248,2021-02-09 12:00:00,28.9116,0.0,2021-02-09 14:00:00,29.3346,0.0,292.61611256381366,0.014630805628190684,Long,Closed,61
62,AVAXUSDT,414.2055950891784,2021-02-11 12:00:00,48.2852,0.0,2021-02-11 20:00:00,47.1441,0.0,-472.6500045562643,-0.023632500227813217,Long,Closed,62
63,AVAXUSDT,449.34934215256305,2021-02-12 04:00:00,44.5088,0.0,2021-02-12 05:30:00,45.9501,0.0,647.6472068444855,0.032382360342224276,Long,Closed,63
64,AVAXUSDT,426.537454253858,2021-02-12 15:00:00,46.8892,0.0,2021-02-12 15:45:00,48.7282,0.0,784.4023783728444,0.03922011891864222,Long,Closed,64
65,AVAXUSDT,410.07976051341984,2021-02-13 10:00:00,48.771,0.0,2021-02-13 16:15:00,47.6816,0.0,-446.7408911033199,-0.022337044555165993,Long,Closed,65
66,AVAXUSDT,445.44719557581845,2021-02-13 20:45:00,44.8987,0.0,2021-02-14 02:30:00,43.6732,0.0,-545.8955381781634,-0.02729477690890817,Long,Closed,66
67,AVAXUSDT,480.1851593974637,2021-02-14 03:30:00,41.6506,0.0,2021-02-14 07:15:00,42.1385,0.0,234.28233927002293,0.011714116963501147,Long,Closed,67
68,AVAXUSDT,481.0386586718041,2021-02-14 12:30:00,41.5767,0.0,2021-02-14 14:30:00,43.2043,0.0,782.9385208542299,0.03914692604271149,Long,Closed,68
69,AVAXUSDT,486.46886842476516,2021-02-14 22:00:00,41.1126,0.0,2021-02-15 03:15:00,38.1836,0.0,-1424.8673156161385,-0.07124336578080692,Long,Closed,69
70,AVAXUSDT,513.8534900929047,2021-02-15 21:30:00,38.9216,0.0,2021-02-16 01:15:00,38.8909,0.0,-15.7753021458484,-0.00078876510729242,Long,Closed,70
71,AVAXUSDT,536.4691744812343,2021-02-16 06:30:00,37.2808,0.0,2021-02-16 07:15:00,37.9298,0.0,348.1684942383217,0.017408424711916087,Long,Closed,71
72,AVAXUSDT,542.7408412483039,2021-02-16 14:15:00,36.85,0.0,2021-02-16 14:45:00,37.6643,0.0,441.9538670284928,0.02209769335142464,Long,Closed,72
73,AVAXUSDT,564.4455733355911,2021-02-16 20:30:00,35.433,0.0,2021-02-16 21:15:00,36.6901,0.0,709.5645302401717,0.03547822651200859,Long,Closed,73
74,AVAXUSDT,568.9965177413114,2021-02-17 02:30:00,35.1496,0.0,2021-02-17 07:15:00,35.3797,0.0,130.92609873227775,0.006546304936613887,Long,Closed,74
75,AVAXUSDT,540.3755069397724,2021-02-17 21:00:00,37.0113,0.0,2021-02-18 00:00:00,37.3046,0.0,158.4921361854358,0.007924606809271791,Long,Closed,75
76,AVAXUSDT,492.739483707569,2021-02-18 15:30:00,40.5894,0.0,2021-02-18 16:15:00,41.4199,0.0,409.22014121913526,0.020461007060956764,Long,Closed,76
77,AVAXUSDT,496.5822725094537,2021-02-18 18:00:00,40.2753,0.0,2021-02-18 19:00:00,41.1766,0.0,447.5696022127704,0.022378480110638522,Long,Closed,77
78,AVAXUSDT,497.15873781339644,2021-02-19 00:30:00,40.2286,0.0,2021-02-19 06:30:00,39.695,0.0,-265.28390249722725,-0.013264195124861362,Long,Closed,78
79,AVAXUSDT,520.8197703184812,2021-02-19 16:45:00,38.401,0.0,2021-02-19 17:30:00,39.1975,0.0,414.83294705866865,0.02074164735293343,Long,Closed,79
80,AVAXUSDT,530.6433254355918,2021-02-20 01:00:00,37.6901,0.0,2021-02-20 02:15:00,39.0237,0.0,707.665938800903,0.03538329694004515,Long,Closed,80
81,AVAXUSDT,509.6943872454077,2021-02-20 15:00:00,39.2392,0.0,2021-02-20 17:00:00,40.248,0.0,514.1796978531675,0.02570898489265837,Long,Closed,81
82,AVAXUSDT,509.4775562399538,2021-02-20 18:45:00,39.2559,0.0,2021-02-21 02:00:00,37.1409,0.0,-1077.5450314474983,-0.05387725157237492,Long,Closed,82
83,AVAXUSDT,547.4157869238791,2021-02-21 15:30:00,36.5353,0.0,2021-02-21 23:00:00,36.3001,0.0,-128.75219308449596,-0.006437609654224798,Long,Closed,83
84,AVAXUSDT,577.6907390397624,2021-02-22 03:00:00,34.6206,0.0,2021-02-22 05:15:00,34.9,0.0,161.40679248770903,0.00807033962438545,Long,Closed,84
85,AVAXUSDT,592.1399345093233,2021-02-22 09:00:00,33.7758,0.0,2021-02-22 15:00:00,33.2906,0.0,-287.3062962239237,-0.014365314811196185,Long,Closed,85
86,AVAXUSDT,670.9945817187527,2021-02-23 02:00:00,29.806499999999996,0.0,2021-02-23 12:45:00,26.8183,0.0,-2005.0660090919737,-0.10025330045459868,Long,Closed,86
87,AVAXUSDT,703.1532909331899,2021-02-24 19:45:00,28.4433,0.0,2021-02-24 21:00:00,29.2127,0.0,541.0061420439961,0.027050307102199803,Long,Closed,87
88,AVAXUSDT,713.3659817164298,2021-02-24 21:30:00,28.0361,0.0,2021-02-24 23:15:00,28.6822,0.0,460.9057607869836,0.02304528803934918,Long,Closed,88
89,AVAXUSDT,692.8614484961442,2021-02-25 20:00:00,28.8658,0.0,2021-02-26 04:00:00,27.2496,0.0,-1119.8026730594684,-0.055990133652973416,Long,Closed,89
90,AVAXUSDT,627.0477026539794,2021-03-18 07:45:00,31.8955,0.0,2021-03-18 08:15:00,32.5,0.0,379.05033625433134,0.018952516812716567,Long,Closed,90
91,AVAXUSDT,538.3551097975246,2021-03-20 09:15:00,37.1502,0.0,2021-03-20 19:30:00,36.1234,0.0,-552.7830267400968,-0.027639151337004845,Long,Closed,91
92,AVAXUSDT,570.0636761126218,2021-03-20 20:30:00,35.0838,0.0,2021-03-21 01:30:00,35.2525,0.0,96.16974216020026,0.004808487108010013,Long,Closed,92
93,AVAXUSDT,594.1788300024658,2021-03-21 02:45:00,33.6599,0.0,2021-03-21 06:00:00,34.1669,0.0,301.24866681124695,0.015062433340562347,Long,Closed,93
94,AVAXUSDT,597.3608597217493,2021-03-21 08:45:00,33.4806,0.0,2021-03-21 13:15:00,33.0601,0.0,-251.19024151299527,-0.012559512075649764,Long,Closed,94
95,AVAXUSDT,618.725734350106,2021-03-22 00:15:00,32.3245,0.0,2021-03-22 03:30:00,32.1864,0.0,-85.44602391374792,-0.004272301195687396,Long,Closed,95
96,AVAXUSDT,627.6183452842326,2021-03-22 18:45:00,31.866500000000002,0.0,2021-03-23 01:30:00,30.0841,0.0,-1118.6669386346184,-0.05593334693173092,Long,Closed,96
97,AVAXUSDT,674.6955436359343,2021-03-30 13:45:00,29.642999999999997,0.0,2021-03-30 19:45:00,29.5538,0.0,-60.18284249232602,-0.003009142124616301,Long,Closed,97
98,AVAXUSDT,658.59449349144,2021-04-03 16:00:00,30.3677,0.0,2021-04-04 02:00:00,28.7403,0.0,-1071.7966787079677,-0.05358983393539838,Long,Closed,98
99,AVAXUSDT,630.4474600847951,2021-04-06 14:15:00,31.7235,0.0,2021-04-06 17:45:00,32.3488,0.0,394.21879679101767,0.019710939839550884,Long,Closed,99
100,AVAXUSDT,632.7512022272842,2021-04-06 21:15:00,31.608,0.0,2021-04-06 23:30:00,31.5656,0.0,-26.82865097443573,-0.0013414325487217866,Long,Closed,100
101,AVAXUSDT,635.2332099922183,2021-04-10 20:45:00,31.4845,0.0,2021-04-10 23:15:00,31.9054,0.0,267.36965808572495,0.013368482904286248,Long,Closed,101
102,AVAXUSDT,643.0041152263375,2021-04-11 07:15:00,31.104,0.0,2021-04-11 08:30:00,31.5298,0.0,273.7911522633767,0.013689557613168837,Long,Closed,102
103,AVAXUSDT,635.6814346058617,2021-04-11 23:45:00,31.462299999999995,0.0,2021-04-12 01:00:00,31.7575,0.0,187.6531594956541,0.009382657974782705,Long,Closed,103
104,AVAXUSDT,636.902108145978,2021-04-12 15:15:00,31.401999999999997,0.0,2021-04-12 16:30:00,31.8697,0.0,297.87911597987477,0.014893955798993738,Long,Closed,104
105,AVAXUSDT,601.0554533761285,2021-04-13 05:00:00,33.2748,0.0,2021-04-13 10:45:00,32.7145,0.0,-336.7713705266433,-0.016838568526332164,Long,Closed,105
106,AVAXUSDT,603.6478439208134,2021-04-14 01:15:00,33.1319,0.0,2021-04-14 02:15:00,33.6102,0.0,288.72476374732287,0.014436238187366144,Long,Closed,106
107,AVAXUSDT,535.8482477762298,2021-04-15 09:15:00,37.324,0.0,2021-04-15 14:15:00,37.8747,0.0,295.0916300503668,0.01475458150251834,Long,Closed,107
108,AVAXUSDT,550.9641873278238,2021-04-15 17:30:00,36.3,0.0,2021-04-15 18:45:00,36.98,0.0,374.6556473829223,0.018732782369146116,Long,Closed,108
109,AVAXUSDT,548.6035297151102,2021-04-16 01:30:00,36.4562,0.0,2021-04-16 07:45:00,36.1682,0.0,-157.99781655795596,-0.007899890827897797,Long,Closed,109
110,AVAXUSDT,575.2151304587917,2021-04-16 09:45:00,34.7696,0.0,2021-04-16 14:45:00,34.7086,0.0,-35.08812295798634,-0.0017544061478993167,Long,Closed,110
111,AVAXUSDT,573.4027150618558,2021-04-17 13:30:00,34.8795,0.0,2021-04-17 18:45:00,34.7304,0.0,-85.49434481572098,-0.004274717240786049,Long,Closed,111
112,AVAXUSDT,600.1860576778802,2021-04-18 00:30:00,33.323,0.0,2021-04-18 07:15:00,29.3709,0.0,-2371.99531854875,-0.11859976592743751,Long,Closed,112
113,AVAXUSDT,609.4402291495262,2021-05-01 18:45:00,32.817,0.0,2021-05-02 02:15:00,31.987,0.0,-505.83539019410455,-0.025291769509705228,Long,Closed,113
114,AVAXUSDT,610.9668550481136,2021-05-04 03:00:00,32.735,0.0,2021-05-04 04:30:00,33.756,0.0,623.7971590041234,0.03118985795020617,Long,Closed,114
115,AVAXUSDT,659.3479049220322,2021-05-04 16:45:00,30.333,0.0,2021-05-04 18:30:00,31.798,0.0,965.9446807107779,0.04829723403553889,Long,Closed,115
116,AVAXUSDT,548.6366379546826,2021-05-06 16:00:00,36.454,0.0,2021-05-06 16:30:00,37.898,0.0,792.231305206562,0.0396115652603281,Long,Closed,116
117,AVAXUSDT,507.89781096043475,2021-05-07 19:30:00,39.378,0.0,2021-05-08 02:45:00,38.353,0.0,-520.5952562344464,-0.026029762811722323,Long,Closed,117
118,AVAXUSDT,524.9343832020998,2021-05-09 01:30:00,38.1,0.0,2021-05-09 01:45:00,38.675,0.0,301.837270341206,0.015091863517060301,Long,Closed,118
119,AVAXUSDT,527.0092226613965,2021-05-09 02:30:00,37.95,0.0,2021-05-09 06:00:00,37.456,0.0,-260.3425559947318,-0.013017127799736591,Long,Closed,119
120,AVAXUSDT,547.5401757603964,2021-05-09 07:45:00,36.527,0.0,2021-05-09 08:45:00,37.579,0.0,576.0122648999386,0.02880061324499693,Long,Closed,120
121,AVAXUSDT,556.1425949613481,2021-05-09 12:15:00,35.962,0.0,2021-05-09 14:30:00,36.581,0.0,344.2522662810734,0.017212613314053667,Long,Closed,121
122,AVAXUSDT,516.40889256113,2021-05-10 11:15:00,38.729,0.0,2021-05-10 16:00:00,38.4,0.0,-169.89852565261026,-0.008494926282630513,Long,Closed,122
123,AVAXUSDT,542.7702996092054,2021-05-10 17:45:00,36.848,0.0,2021-05-11 00:30:00,35.291,0.0,-845.0933564915358,-0.04225466782457679,Long,Closed,123
124,AVAXUSDT,586.5102639296188,2021-05-11 01:00:00,34.1,0.0,2021-05-11 04:45:00,34.127,0.0,15.835777126099856,0.0007917888563049928,Long,Closed,124
125,AVAXUSDT,538.9963887241955,2021-05-12 18:15:00,37.106,0.0,2021-05-12 20:15:00,38.252,0.0,617.6898614779275,0.030884493073896374,Long,Closed,125
126,AVAXUSDT,553.6178929302995,2021-05-12 22:15:00,36.126,0.0,2021-05-13 02:15:00,36.005,0.0,-66.98776504456328,-0.0033493882522281646,Long,Closed,126
127,AVAXUSDT,576.9674590353104,2021-05-13 03:45:00,34.664,0.0,2021-05-13 04:15:00,35.841,0.0,679.0906992845594,0.03395453496422797,Long,Closed,127
128,AVAXUSDT,609.1617933723197,2021-05-13 11:00:00,32.832,0.0,2021-05-13 12:30:00,34.798,0.0,1197.6120857699825,0.059880604288499124,Long,Closed,128
129,AVAXUSDT,619.463544570402,2021-05-13 17:30:00,32.286,0.0,2021-05-13 19:45:00,33.53,0.0,770.6126494455784,0.03853063247227892,Long,Closed,129
